[Point: 36851.0, 16901.0, Point: 37864.0, 16901.0, Point: 37864.0, 17914.0, Point: 36851.0, 17914.0]
[Point: 37864.0, 16901.0, Point: 38877.0, 16901.0, Point: 38877.0, 17914.0, Point: 37864.0, 17914.0]
[Point: 38877.0, 16901.0, Point: 39890.0, 16901.0, Point: 39890.0, 17914.0, Point: 38877.0, 17914.0]
[Point: 39890.0, 16901.0, Point: 40903.0, 16901.0, Point: 40903.0, 17914.0, Point: 39890.0, 17914.0]
[Point: 40903.0, 16901.0, Point: 41916.0, 16901.0, Point: 41916.0, 17914.0, Point: 40903.0, 17914.0]
[Point: 41916.0, 16901.0, Point: 42929.0, 16901.0, Point: 42929.0, 17914.0, Point: 41916.0, 17914.0]
[Point: 43942.0, 16901.0, Point: 44955.0, 16901.0, Point: 44955.0, 17914.0, Point: 43942.0, 17914.0]
[Point: 44955.0, 16901.0, Point: 45968.0, 16901.0, Point: 45968.0, 17914.0, Point: 44955.0, 17914.0]
[Point: 45968.0, 16901.0, Point: 46981.0, 16901.0, Point: 46981.0, 17914.0, Point: 45968.0, 17914.0]
[Point: 46981.0, 16901.0, Point: 47994.0, 16901.0, Point: 47994.0, 17914.0, Point: 46981.0, 17914.0]
[Point: 47994.0, 16901.0, Point: 49007.0, 16901.0, Point: 49007.0, 17914.0, Point: 47994.0, 17914.0]
[Point: 49007.0, 16901.0, Point: 50020.0, 16901.0, Point: 50020.0, 17914.0, Point: 49007.0, 17914.0]
[Point: 30773.0, 17914.0, Point: 31786.0, 17914.0, Point: 31786.0, 18927.0, Point: 30773.0, 18927.0]
[Point: 31786.0, 17914.0, Point: 32799.0, 17914.0, Point: 32799.0, 18927.0, Point: 31786.0, 18927.0]
[Point: 32799.0, 17914.0, Point: 33812.0, 17914.0, Point: 33812.0, 18927.0, Point: 32799.0, 18927.0]
[Point: 33812.0, 17914.0, Point: 34825.0, 17914.0, Point: 34825.0, 18927.0, Point: 33812.0, 18927.0]
[Point: 35838.0, 17914.0, Point: 36851.0, 17914.0, Point: 36851.0, 18927.0, Point: 35838.0, 18927.0]
[Point: 36851.0, 17914.0, Point: 37864.0, 17914.0, Point: 37864.0, 18927.0, Point: 36851.0, 18927.0]
[Point: 37864.0, 17914.0, Point: 38877.0, 17914.0, Point: 38877.0, 18927.0, Point: 37864.0, 18927.0]
[Point: 38877.0, 17914.0, Point: 39890.0, 17914.0, Point: 39890.0, 18927.0, Point: 38877.0, 18927.0]
[Point: 39890.0, 17914.0, Point: 40903.0, 17914.0, Point: 40903.0, 18927.0, Point: 39890.0, 18927.0]
[Point: 40903.0, 17914.0, Point: 41916.0, 17914.0, Point: 41916.0, 18927.0, Point: 40903.0, 18927.0]
[Point: 41916.0, 17914.0, Point: 42929.0, 17914.0, Point: 42929.0, 18927.0, Point: 41916.0, 18927.0]
[Point: 43942.0, 17914.0, Point: 44955.0, 17914.0, Point: 44955.0, 18927.0, Point: 43942.0, 18927.0]
[Point: 44955.0, 17914.0, Point: 45968.0, 17914.0, Point: 45968.0, 18927.0, Point: 44955.0, 18927.0]
[Point: 45968.0, 17914.0, Point: 46981.0, 17914.0, Point: 46981.0, 18927.0, Point: 45968.0, 18927.0]
[Point: 46981.0, 17914.0, Point: 47994.0, 17914.0, Point: 47994.0, 18927.0, Point: 46981.0, 18927.0]
[Point: 47994.0, 17914.0, Point: 49007.0, 17914.0, Point: 49007.0, 18927.0, Point: 47994.0, 18927.0]
